timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753312452.563,1753312452.654,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753312452.853,1753312452.954,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753312453.183,1753312453.254,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753312453.475,1753312453.554,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753312453.772,1753312453.854,-2.002,0.999,1.553,-0.000,-0.000,-0.033,0.200,0.200,0.100
1753312454.064,1753312454.154,-2.002,0.999,1.479,-0.000,-0.000,-0.106,0.200,0.200,0.100
1753312454.354,1753312454.454,-2.002,0.999,1.405,-0.000,-0.000,-0.187,0.200,0.200,0.100
1753312454.678,1753312454.759,-2.002,0.999,1.323,0.000,-0.000,-0.260,0.200,0.200,0.100
1753312454.972,1753312455.054,-2.002,0.999,1.249,0.000,-0.000,-0.333,0.200,0.200,0.100
1753312455.263,1753312455.354,-1.996,1.012,1.184,0.028,-0.011,-0.374,0.200,0.200,0.100
1753312455.557,1753312455.654,-1.969,1.078,1.184,0.093,-0.036,-0.374,0.200,0.200,0.100
1753312455.853,1753312455.954,-1.942,1.144,1.184,0.164,-0.064,-0.374,0.200,0.200,0.100
1753312456.180,1753312456.254,-1.912,1.218,1.183,0.228,-0.089,-0.374,0.200,0.200,0.100
1753312456.468,1753312456.554,-1.885,1.284,1.183,0.292,-0.115,-0.374,0.200,0.200,0.100
1753312456.767,1753312456.854,-1.858,1.350,1.184,0.342,-0.134,-0.374,0.200,0.200,0.100
1753312456.767,1753312457.154,-1.858,1.350,1.184,0.420,-0.165,-0.374,0.200,0.200,0.100
1753312456.767,1753312457.454,-1.858,1.350,1.184,0.491,-0.193,-0.374,0.200,0.200,0.100
1753312456.767,1753312457.754,-1.858,1.350,1.184,0.555,-0.218,-0.374,0.200,0.200,0.100
1753312456.767,1753312458.054,-1.858,1.350,1.184,0.619,-0.243,-0.374,0.200,0.200,0.100
1753312456.767,1753312458.354,-1.858,1.350,1.184,0.683,-0.268,-0.374,0.200,0.200,0.100
1753312458.581,1753312458.655,-1.692,1.762,1.187,0.755,-0.296,-0.374,0.200,0.200,0.100
1753312458.874,1753312458.954,-1.665,1.828,1.187,0.819,-0.321,-0.374,0.200,0.200,0.100
