timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753360104.806,1753360104.832,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360105.001,1753360105.032,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360105.202,1753360105.232,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360105.427,1753360105.434,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360105.626,1753360105.632,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360105.821,1753360105.832,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360106.014,1753360106.032,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360106.210,1753360106.232,-2.002,0.999,1.562,-0.000,0.000,-0.000,0.000,0.000,0.000
1753360106.402,1753360106.432,-2.002,0.999,1.517,-0.000,-0.000,-0.044,0.050,0.050,0.020
1753360106.629,1753360106.650,-2.002,0.999,1.466,-0.000,-0.000,-0.102,0.050,0.050,0.020
1753360106.824,1753360106.845,-2.002,0.999,1.421,-0.000,-0.000,-0.146,0.050,0.050,0.020
1753360107.018,1753360107.040,-2.002,0.999,1.377,-0.000,-0.000,-0.190,0.050,0.050,0.020
1753360107.206,1753360107.232,-2.002,0.999,1.333,0.000,-0.000,-0.234,0.050,0.050,0.020
1753360107.401,1753360107.433,-2.002,0.999,1.288,0.000,-0.000,-0.278,0.050,0.050,0.020
1753360107.628,1753360107.632,-2.002,0.999,1.237,0.000,-0.000,-0.293,0.050,0.050,0.020
1753360107.827,1753360107.838,-2.002,0.999,1.193,0.000,-0.000,-0.337,0.050,0.050,0.020
1753360108.017,1753360108.038,-1.996,1.012,1.156,0.014,-0.006,-0.403,0.050,0.050,0.020
1753360108.411,1753360108.444,-1.957,1.099,1.156,0.028,-0.012,-0.403,0.050,0.050,0.020
1753360108.608,1753360108.632,-1.938,1.143,1.156,0.141,-0.060,-0.403,0.050,0.050,0.020
1753360108.799,1753360108.832,-1.919,1.186,1.155,0.183,-0.078,-0.403,0.050,0.050,0.020
1753360109.025,1753360109.032,-1.897,1.237,1.155,0.225,-0.096,-0.403,0.050,0.050,0.020
1753360109.222,1753360109.232,-1.877,1.281,1.156,0.267,-0.114,-0.403,0.050,0.050,0.020
1753360109.415,1753360109.433,-1.858,1.324,1.156,0.310,-0.132,-0.403,0.050,0.050,0.020
1753360109.610,1753360109.632,-1.839,1.368,1.156,0.352,-0.150,-0.403,0.050,0.050,0.020
