timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753311751.266,1753311751.331,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.200,0.200,0.100
1753311751.561,1753311751.631,-2.002,1.015,1.565,0.028,-0.000,-0.000,0.200,0.200,0.100
1753311751.859,1753311751.931,-2.001,1.067,1.565,0.078,-0.000,-0.000,0.200,0.200,0.100
1753311752.148,1753311752.231,-2.001,1.116,1.557,0.112,-0.000,-0.022,0.200,0.200,0.100
1753311752.473,1753311752.531,-2.001,1.114,1.483,0.112,-0.000,-0.088,0.200,0.200,0.100
1753311752.763,1753311752.840,-2.001,1.114,1.416,0.112,-0.000,-0.161,0.200,0.200,0.100
1753311753.060,1753311753.131,-2.000,1.119,1.355,0.128,-0.003,-0.205,0.200,0.200,0.100
1753311753.352,1753311753.431,-1.989,1.170,1.355,0.177,-0.014,-0.205,0.200,0.200,0.100
1753311753.649,1753311753.731,-1.978,1.221,1.355,0.226,-0.024,-0.205,0.200,0.200,0.100
1753311753.969,1753311754.031,-1.969,1.262,1.332,0.254,-0.030,-0.234,0.200,0.200,0.100
1753311754.260,1753311754.338,-1.969,1.261,1.265,0.254,-0.030,-0.307,0.200,0.200,0.100
1753311754.552,1753311754.631,-1.969,1.261,1.199,0.254,-0.030,-0.373,0.200,0.200,0.100
1753311754.845,1753311754.931,-1.954,1.298,1.184,0.300,-0.048,-0.373,0.200,0.200,0.100
1753311755.175,1753311755.232,-1.932,1.352,1.184,0.347,-0.066,-0.373,0.200,0.200,0.100
1753311755.466,1753311755.531,-1.912,1.400,1.185,0.394,-0.084,-0.373,0.200,0.200,0.100
1753311755.757,1753311755.831,-1.893,1.448,1.185,0.446,-0.105,-0.373,0.200,0.200,0.100
1753311756.049,1753311756.131,-1.873,1.496,1.185,0.492,-0.123,-0.373,0.200,0.200,0.100
1753311756.372,1753311756.431,-1.851,1.550,1.185,0.539,-0.141,-0.373,0.200,0.200,0.100
1753311756.667,1753311756.731,-1.832,1.598,1.185,0.586,-0.160,-0.373,0.200,0.200,0.100
1753311756.963,1753311757.040,-1.812,1.647,1.184,0.638,-0.180,-0.373,0.200,0.200,0.100
