timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1751210415.229,1751210415.228,-1.676,2.001,0.079,-24.666,7.370,-3.093,80.617,23.736,4.983
1751210415.329,1751210415.359,-1.629,2.009,0.296,-9.643,11.201,2.559,81.220,20.517,4.694
1751210415.422,1751210415.483,-1.583,2.028,0.506,-9.770,11.196,2.851,81.571,18.780,4.929
1751210415.617,1751210415.617,-1.505,2.090,0.847,-9.803,11.233,3.053,78.480,16.583,4.969
1751210415.808,1751210415.875,-1.448,2.172,1.102,-9.935,11.287,-3.009,79.967,16.420,4.799
1751210416.102,1751210416.134,-1.400,2.313,1.369,-9.901,11.330,-2.893,81.491,15.497,4.302
1751210416.615,1751210416.648,-1.382,2.577,1.611,-10.126,11.323,-2.711,85.714,13.780,4.145
1751210417.200,1751210417.299,-1.415,2.874,1.738,-10.458,11.388,-2.754,85.722,13.558,3.826
1751210417.912,1751210417.948,-1.489,3.232,1.803,-3.106,11.603,-2.916,87.056,12.151,3.606
1751210418.533,1751210418.598,-1.567,3.537,1.831,-3.461,11.484,-2.856,86.870,11.417,3.396
1751210419.221,1751210419.251,-1.660,3.873,1.851,-3.782,11.380,-2.841,84.810,10.238,2.699
1751210419.607,1751210419.639,-1.722,4.060,2.097,-13.508,11.267,-2.460,83.692,9.417,2.623
1751210419.704,1751210419.770,-1.751,4.101,2.276,-13.744,11.260,-2.321,79.494,8.707,2.485
1751210420.031,1751210420.030,-1.882,4.202,2.677,-13.838,11.179,-2.035,78.022,8.417,2.472
1751210420.417,1751210420.416,-2.070,4.266,2.927,-13.899,10.996,-1.800,78.209,7.776,2.423
1751210420.903,1751210420.934,-2.317,4.300,3.062,-13.913,10.742,-1.657,74.644,7.648,2.373
1751210421.423,1751210421.454,-2.582,4.313,3.119,-13.939,10.523,-1.624,74.266,7.269,2.077
1751210421.907,1751210421.974,-2.831,4.315,3.139,-4.189,10.233,-1.610,71.450,7.377,1.889
1751210422.424,1751210422.487,-3.096,4.314,-3.134,-4.190,9.995,-1.591,68.748,7.246,1.935
1751210423.007,1751210423.007,-3.395,4.312,-3.131,-14.147,9.781,-1.590,69.710,8.085,2.092
1751210423.527,1751210423.526,-3.660,4.308,-3.129,-14.139,9.528,-1.574,69.151,8.812,2.035
1751210424.012,1751210424.043,-3.909,4.305,-3.129,-4.172,9.193,-1.655,68.908,10.023,2.298
1751210424.500,1751210424.568,-4.158,4.302,-3.129,-14.257,9.020,-1.599,67.119,10.874,2.330
1751210425.019,1751210425.087,-4.424,4.298,-3.128,-14.295,8.781,-1.605,63.168,10.947,2.236
1751210425.503,1751210425.598,-4.673,4.295,-3.129,-4.644,4.291,3.138,62.324,11.429,2.317
1751210426.126,1751210426.125,-4.988,4.291,-3.128,-4.903,4.301,-3.134,59.933,11.154,2.237
1751210426.613,1751210426.642,-5.237,4.288,-3.129,-5.137,4.289,-3.124,55.511,10.443,1.972
1751210427.102,1751210427.166,-5.485,4.284,-3.125,-5.382,4.266,-3.121,50.320,9.561,1.716
1751210427.615,1751210427.684,-5.751,4.280,-3.127,-5.624,4.248,-3.104,44.116,7.883,1.362
1751210428.101,1751210428.200,-6.000,4.277,-3.128,-5.882,4.254,-3.114,40.182,6.750,1.168
1751210428.723,1751210428.723,-6.315,4.272,-3.128,-6.143,4.246,-3.126,34.153,4.998,0.906
1751210429.209,1751210429.245,-6.564,4.269,-3.129,-6.407,4.248,3.141,26.556,3.809,0.689
1751210429.698,1751210429.767,-6.813,4.266,-3.128,-6.646,4.250,3.133,21.509,2.567,0.546
