timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1751037528.516,1751037528.625,-1.704,2.001,0.000,-16.892,8.680,0.149,76.717,27.703,3.256
1751037529.030,1751037529.109,-1.704,2.001,0.000,-16.892,8.680,0.149,76.717,27.703,3.256
1751037529.519,1751037529.623,-1.629,2.010,0.298,-16.942,8.684,1.032,76.292,27.477,3.250
1751037530.021,1751037530.131,-1.439,2.186,1.111,-16.895,8.401,0.490,76.859,27.828,3.260
1751037530.923,1751037530.946,-1.351,2.640,1.536,-16.656,7.735,-0.056,80.825,27.589,3.146
1751037531.011,1751037531.110,-1.350,2.689,1.552,-16.651,7.680,0.056,80.625,27.487,3.134
1751037531.503,1751037531.609,-1.353,2.938,1.603,-15.958,7.001,0.845,86.533,28.131,2.808
1751037532.023,1751037532.112,-1.365,3.203,1.625,-15.189,5.616,0.724,95.905,22.950,2.305
1751037532.731,1751037532.737,-1.386,3.551,1.637,-13.600,4.335,0.939,108.030,17.123,1.692
1751037533.016,1751037533.115,-1.396,3.700,1.639,-13.502,4.416,0.952,106.613,16.573,1.670
1751037533.491,1751037533.612,-1.413,3.949,1.640,-12.502,4.349,1.099,109.426,15.337,1.518
1751037534.003,1751037534.120,-1.432,4.213,1.641,-11.961,4.341,1.160,109.952,14.209,1.426
1751037534.523,1751037534.613,-1.450,4.478,1.641,-11.739,4.426,1.228,111.700,12.860,1.524
1751037535.007,1751037535.115,-1.468,4.727,1.642,-11.690,4.412,1.201,112.792,11.829,1.553
1751037535.527,1751037535.615,-1.487,4.992,1.641,-12.012,4.561,1.241,116.516,10.872,1.807
1751037536.007,1751037536.131,-1.503,5.223,1.642,-11.453,4.189,1.282,119.663,7.029,1.734
1751037536.525,1751037536.612,-1.522,5.488,1.642,-12.869,4.654,1.325,125.694,8.409,2.388
1751037537.011,1751037537.112,-1.539,5.737,1.641,-16.038,4.407,0.292,125.214,7.315,2.315
1751037537.492,1751037537.611,-1.557,5.985,1.642,-17.511,4.352,-0.994,121.703,7.483,3.061
1751037538.018,1751037538.111,-1.576,6.250,1.641,-20.079,4.074,-1.388,102.055,7.175,2.563
1751037538.725,1751037538.828,-1.600,6.597,1.642,-21.929,3.449,-1.454,84.322,2.787,1.821
1751037539.013,1751037539.114,-1.611,6.746,1.642,-21.910,3.205,-1.454,83.597,3.456,1.819
1751037539.520,1751037539.609,-1.630,7.011,1.641,-24.081,3.127,-1.476,43.535,7.278,0.955
1751037539.999,1751037540.126,-1.647,7.259,1.642,-25.091,2.759,-1.504,25.359,8.366,0.483
1751037540.531,1751037540.610,-1.666,7.524,1.641,-25.275,2.506,-1.506,21.253,8.250,0.413
1751037541.016,1751037541.112,-1.684,7.773,1.642,-25.206,2.405,-1.507,21.958,9.547,0.447
1751037541.505,1751037541.609,-1.701,8.021,1.641,-25.368,2.175,-1.506,19.311,8.559,0.371
1751037542.028,1751037542.111,-1.838,8.254,2.555,-25.204,1.902,-0.560,18.814,9.728,0.391
1751037542.529,1751037542.611,-2.068,8.347,2.920,-25.009,1.812,-0.232,18.312,9.843,0.383
1751037543.016,1751037543.111,-2.314,8.382,3.060,-24.664,1.853,-0.101,20.253,10.454,0.416
1751037543.513,1751037543.613,-2.562,8.394,3.118,-24.185,2.040,-0.051,24.950,12.223,0.509
1751037544.028,1751037544.120,-2.828,8.397,-3.140,-23.872,2.015,-0.015,25.086,12.130,0.523
1751037544.508,1751037544.613,-3.077,8.395,-3.132,-23.330,2.163,0.008,31.598,13.446,0.604
1751037545.227,1751037545.293,-3.425,8.391,-3.126,-23.230,1.648,0.039,34.426,8.069,0.433
1751037545.521,1751037545.610,-3.575,8.388,-3.126,-22.993,1.617,0.042,32.639,7.758,0.418
1751037546.003,1751037546.111,-3.824,8.384,-3.126,-22.216,1.904,0.074,42.449,10.390,0.519
1751037546.509,1751037546.611,-4.056,8.381,-3.125,-20.093,2.342,0.214,72.596,12.293,0.732
1751037547.212,1751037547.272,-4.438,8.374,-3.125,-16.168,2.889,0.594,114.011,12.390,0.832
1751037547.527,1751037547.610,-4.587,8.372,-3.125,-15.888,3.053,0.594,109.473,13.102,0.820
1751037548.027,1751037548.116,-4.852,8.367,-3.125,-13.332,4.078,0.900,116.275,16.948,0.952
1751037548.512,1751037548.613,-5.101,8.363,-3.125,-10.329,4.966,1.212,110.509,16.715,0.848
1751037549.029,1751037549.111,-5.367,8.359,-3.125,-8.007,5.856,1.434,95.281,15.842,0.693
1751037549.525,1751037549.611,-5.616,8.355,-3.125,-7.648,6.058,1.449,91.984,15.307,0.658
1751037550.006,1751037550.116,-5.864,8.351,-3.125,-7.598,6.213,1.449,91.066,15.309,0.646
