timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753314654.972,1753314655.055,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314655.264,1753314655.355,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314655.563,1753314655.655,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314655.886,1753314655.955,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314656.182,1753314656.255,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314656.473,1753314656.555,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314656.767,1753314656.855,-2.002,0.999,1.569,0.000,-0.000,-0.000,0.200,0.200,0.100
1753314657.088,1753314657.156,-2.002,0.999,1.521,-0.000,-0.000,-0.053,0.200,0.200,0.100
1753314657.373,1753314657.455,-2.002,0.999,1.467,-0.000,-0.000,-0.113,0.200,0.200,0.100
1753314657.668,1753314657.755,-2.002,0.999,1.413,-0.000,-0.000,-0.166,0.200,0.200,0.100
1753314657.963,1753314658.055,-2.002,0.999,1.360,0.000,-0.000,-0.219,0.200,0.200,0.100
1753314658.258,1753314658.355,-2.002,0.999,1.306,0.000,-0.000,-0.273,0.200,0.200,0.100
1753314658.583,1753314658.655,-2.002,0.999,1.246,0.006,-0.002,-0.326,0.200,0.200,0.100
1753314658.876,1753314658.955,-1.985,1.047,1.239,0.059,-0.020,-0.326,0.200,0.200,0.100
1753314659.167,1753314659.255,-1.966,1.102,1.238,0.112,-0.038,-0.326,0.200,0.200,0.100
1753314659.487,1753314659.557,-1.945,1.163,1.238,0.170,-0.058,-0.326,0.200,0.200,0.100
1753314659.784,1753314659.861,-1.926,1.217,1.238,0.223,-0.075,-0.326,0.200,0.200,0.100
1753314660.074,1753314660.155,-1.907,1.272,1.238,0.276,-0.093,-0.326,0.200,0.200,0.100
1753314660.368,1753314660.455,-1.889,1.327,1.238,0.329,-0.111,-0.326,0.200,0.200,0.100
1753314660.656,1753314660.755,-1.870,1.381,1.238,0.382,-0.129,-0.326,0.200,0.200,0.100
1753314660.988,1753314661.055,-1.849,1.442,1.238,0.428,-0.145,-0.326,0.200,0.200,0.100
1753314661.281,1753314661.357,-1.830,1.497,1.238,0.493,-0.167,-0.326,0.200,0.200,0.100
1753314661.574,1753314661.655,-1.811,1.551,1.238,0.546,-0.185,-0.326,0.200,0.200,0.100
1753314661.866,1753314661.955,-1.792,1.606,1.238,0.599,-0.202,-0.326,0.200,0.200,0.100
1753314662.189,1753314662.264,-1.771,1.667,1.238,0.657,-0.222,-0.326,0.200,0.200,0.100
1753314662.482,1753314662.555,-1.752,1.722,1.238,0.710,-0.240,-0.326,0.200,0.200,0.100
1753314662.772,1753314662.855,-1.733,1.776,1.238,0.763,-0.258,-0.326,0.200,0.200,0.100
1753314663.065,1753314663.156,-1.714,1.831,1.238,0.816,-0.276,-0.326,0.200,0.200,0.100
1753314663.358,1753314663.459,-1.695,1.886,1.238,-9.602,3.428,0.638,0.100,0.100,0.050
1753314663.688,1753314663.768,-1.674,1.946,1.238,-9.582,3.444,0.644,0.100,0.100,0.050
1753314663.979,1753314664.057,-1.656,2.001,1.238,-9.566,3.457,0.650,0.100,0.100,0.050
1753314664.275,1753314664.358,-1.637,2.056,1.238,-9.543,3.472,0.652,0.100,0.100,0.050
1753314664.789,1753314664.811,-1.603,2.153,1.238,-5.986,0.433,0.080,0.100,0.100,0.050
1753314664.857,1753314664.970,-1.599,2.165,1.238,-5.880,0.441,0.077,0.100,0.100,0.050
1753314665.183,1753314665.259,-1.578,2.226,1.238,-5.826,0.448,0.078,0.100,0.100,0.050
1753314665.476,1753314665.558,-1.559,2.281,1.238,-5.778,0.454,0.075,0.100,0.100,0.050
1753314665.765,1753314665.860,-1.557,2.286,1.287,-5.774,0.455,0.135,0.100,0.100,0.050
1753314666.059,1753314666.159,-1.555,2.293,1.335,-5.764,0.455,0.166,0.100,0.100,0.050
1753314666.389,1753314666.462,-1.540,2.356,1.334,-5.703,0.467,0.169,0.100,0.100,0.050
1753314666.673,1753314666.759,-1.527,2.412,1.334,-5.640,0.476,0.173,0.100,0.100,0.050
1753314666.966,1753314667.059,-1.513,2.468,1.334,-5.590,0.485,0.172,0.100,0.100,0.050
1753314667.258,1753314667.360,-1.500,2.524,1.335,-5.527,0.496,0.170,0.100,0.100,0.050
1753314667.588,1753314667.665,-1.485,2.587,1.335,-5.470,0.507,0.174,0.100,0.100,0.050
1753314667.879,1753314667.959,-1.472,2.639,1.341,-5.433,0.515,0.183,0.100,0.100,0.050
1753314668.168,1753314668.258,-1.473,2.637,1.396,-5.432,0.517,0.246,0.100,0.100,0.050
1753314668.460,1753314668.564,-1.472,2.637,1.450,-5.432,0.517,0.290,0.100,0.100,0.050
1753314668.786,1753314668.858,-1.472,2.637,1.509,-5.430,0.520,0.349,0.100,0.100,0.050
1753314669.076,1753314669.161,-1.472,2.637,1.563,-5.427,0.516,0.407,0.100,0.100,0.050
1753314669.369,1753314669.458,-1.472,2.637,1.617,-5.428,0.516,0.452,0.100,0.100,0.050
1753314669.664,1753314669.758,-1.472,2.637,1.671,-5.430,0.515,0.511,0.100,0.100,0.050
1753314669.985,1753314670.072,-1.472,2.637,1.730,-5.431,0.516,0.572,0.100,0.100,0.050
1753314670.269,1753314670.358,-1.473,2.637,1.778,-5.427,0.514,0.620,0.100,0.100,0.050
1753314670.561,1753314670.659,-1.473,2.637,1.832,-5.427,0.517,0.669,0.100,0.100,0.050
1753314670.856,1753314670.959,-1.473,2.637,1.886,-5.427,0.516,0.703,0.100,0.100,0.050
1753314671.158,1753314671.258,-1.473,2.637,1.940,-5.427,0.512,0.774,0.100,0.100,0.050
1753314671.480,1753314671.558,-1.473,2.637,1.981,-5.425,0.515,0.811,0.100,0.100,0.050
1753314671.766,1753314671.858,-1.473,2.637,2.023,-5.425,0.517,0.855,0.100,0.100,0.050
1753314672.083,1753314672.159,-1.473,2.637,2.077,-5.428,0.516,0.901,0.100,0.100,0.050
1753314672.377,1753314672.458,-1.473,2.637,2.125,-5.430,0.513,0.960,0.100,0.100,0.050
1753314672.689,1753314672.759,-1.473,2.637,2.185,-5.433,0.516,1.009,0.100,0.100,0.050
1753314672.974,1753314673.059,-1.473,2.637,2.233,-5.432,0.515,1.052,0.100,0.100,0.050
1753314673.254,1753314673.358,-1.473,2.637,2.274,-5.429,0.516,1.099,0.100,0.100,0.050
1753314673.566,1753314673.658,-1.473,2.637,2.328,-5.432,0.515,1.155,0.100,0.100,0.050
1753314673.869,1753314673.958,-1.473,2.637,2.382,-5.433,0.512,1.199,0.100,0.100,0.050
1753314674.176,1753314674.258,-1.492,2.654,2.412,-5.427,0.537,1.225,0.100,0.100,0.050
1753314674.479,1753314674.558,-1.530,2.688,2.412,-5.411,0.585,1.227,0.100,0.100,0.050
1753314674.759,1753314674.859,-1.568,2.722,2.412,-5.395,0.642,1.229,0.100,0.100,0.050
