timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1751057817.482,1751057817.514,-1.554,2.047,0.634,-9.435,11.360,2.590,88.250,19.404,5.002
1751057817.577,1751057817.643,-1.516,2.079,0.800,-18.121,1.930,0.792,85.661,17.915,5.580
1751057817.870,1751057817.901,-1.435,2.204,1.175,-18.088,1.963,1.068,84.369,16.539,4.748
1751057818.261,1751057818.293,-1.388,2.396,1.465,-18.067,2.113,1.290,79.936,16.110,4.344
1751057818.781,1751057818.814,-1.388,2.662,1.656,-18.033,2.328,1.497,76.199,16.247,4.288
1751057819.366,1751057819.462,-1.431,2.957,1.758,-18.028,2.666,1.599,71.071,16.868,4.181
1751057820.084,1751057820.113,-1.509,3.314,1.812,-18.020,2.989,1.642,68.989,15.571,3.894
1751057820.668,1751057820.767,-1.584,3.603,1.835,-18.040,3.288,1.670,69.213,12.937,3.860
1751057821.382,1751057821.417,-1.683,3.954,1.858,-3.412,11.425,-2.926,65.593,11.692,3.926
1751057821.678,1751057821.677,-1.741,4.090,2.213,-3.410,11.199,-2.662,67.353,9.821,4.210
1751057821.870,1751057821.941,-1.811,4.160,2.498,-3.503,11.194,-2.298,64.937,8.366,4.778
1751057822.166,1751057822.198,-1.943,4.231,2.778,-3.526,11.109,-2.042,63.302,7.306,4.614
1751057822.684,1751057822.719,-2.201,4.291,3.012,-3.656,10.930,-1.797,62.089,6.531,4.581
1751057823.169,1751057823.236,-2.449,4.312,3.097,-3.627,10.691,-1.680,60.674,6.458,4.766
1751057823.687,1751057823.750,-2.714,4.318,3.132,-3.629,10.461,-1.667,60.745,6.060,4.655
1751057824.277,1751057824.276,-3.013,4.319,-3.136,-3.543,10.168,-1.603,60.491,6.292,4.622
1751057824.759,1751057824.792,-3.262,4.316,-3.131,-3.539,9.924,-1.601,62.254,6.388,4.639
1751057825.277,1751057825.310,-3.527,4.313,-3.130,-3.509,9.654,-1.628,64.175,6.696,4.573
1751057825.769,1751057825.835,-3.776,4.310,-3.128,-3.497,9.407,-1.622,66.115,8.104,4.753
1751057826.282,1751057826.349,-4.042,4.307,-3.129,-3.545,9.145,-1.633,65.016,8.469,4.262
1751057826.769,1751057826.870,-4.290,4.304,-3.128,-3.570,8.859,-1.646,65.865,8.712,3.546
1751057827.362,1751057827.395,-4.589,4.300,-3.128,-3.588,8.615,-1.627,68.739,9.494,3.323
1751057827.883,1751057827.914,-4.855,4.296,-3.128,-3.583,8.329,-1.588,69.032,10.380,3.275
1751057828.369,1751057828.434,-5.103,4.293,-3.128,-3.612,8.066,-1.602,71.351,11.461,3.039
1751057828.886,1751057828.951,-5.369,4.289,-3.129,-3.636,7.822,-1.605,71.789,12.269,2.815
1751057829.470,1751057829.470,-5.668,4.285,-3.128,-3.729,7.584,-1.613,70.687,13.243,2.799
1751057829.956,1751057829.989,-5.917,4.282,-3.129,-3.714,7.334,-1.593,71.908,14.286,2.669
1751057830.478,1751057830.511,-6.182,4.278,-3.128,-3.796,7.059,-1.595,73.008,14.822,2.395
1751057830.962,1751057831.030,-6.431,4.275,-3.128,-3.876,6.812,-1.606,73.256,15.167,2.242
1751057831.484,1751057831.547,-6.697,4.272,-3.128,-22.335,4.698,0.042,73.334,15.715,2.101
1751057832.068,1751057832.068,-6.995,4.268,-3.128,-22.076,4.692,0.037,73.224,15.098,1.978
1751057832.586,1751057832.585,-7.261,4.264,-3.128,-21.842,4.701,0.021,73.171,14.816,1.919
1751057833.078,1751057833.110,-7.510,4.261,-3.128,-21.581,4.715,0.019,71.456,13.658,1.732
1751057833.562,1751057833.632,-7.759,4.257,-3.129,-21.328,4.741,0.047,70.314,13.313,1.620
