timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1751056971.998,1751056971.765,-1.696,2.001,0.005,-16.958,8.421,-0.994,77.386,28.010,3.214
1751056972.031,1751056972.266,-1.687,2.001,0.033,-17.002,8.422,-0.339,76.790,27.773,3.236
1751056972.886,1751056972.960,-1.443,2.300,1.418,-17.142,7.458,0.498,78.527,27.874,2.974
1751056973.302,1751056973.395,-1.430,2.499,1.576,-17.439,6.574,1.186,80.294,25.906,2.871
1751056974.088,1751056974.116,-1.468,2.912,1.724,-18.175,5.421,0.986,75.555,21.571,2.531
1751056974.283,1751056974.361,-1.484,3.010,1.741,-18.742,4.731,1.124,75.593,17.667,2.229
1751056974.770,1751056974.863,-1.530,3.255,1.769,-19.064,4.584,1.039,75.480,15.961,2.140
1751056975.282,1751056975.375,-1.581,3.498,1.787,-20.316,4.792,0.654,71.012,13.392,2.314
1751056976.114,1751056976.165,-1.678,3.919,1.807,-21.782,4.761,-0.655,63.174,8.382,2.474
1751056976.186,1751056976.266,-1.685,3.951,1.809,-21.740,4.727,-0.643,62.981,8.111,2.474
1751056976.804,1751056976.898,-1.850,4.206,2.590,-21.962,4.910,-0.362,64.210,7.174,2.479
1751056977.315,1751056977.337,-2.098,4.297,2.946,-22.192,4.951,-0.145,62.936,5.767,2.198
1751056977.801,1751056977.885,-2.345,4.327,3.072,-21.368,4.866,0.080,74.036,5.191,2.076
1751056978.281,1751056978.372,-2.594,4.338,3.122,-20.848,4.857,0.138,82.228,4.968,1.981
1751056978.990,1751056979.106,-2.942,4.340,-3.138,-21.111,4.671,0.154,81.501,2.706,1.658
1751056979.309,1751056979.363,-3.092,4.339,-3.133,-21.073,4.928,0.096,79.627,3.605,1.678
1751056979.889,1751056979.953,-3.390,4.335,-3.130,-21.133,4.980,0.053,76.674,3.162,1.680
1751056980.278,1751056980.336,-3.590,4.333,-3.129,-21.179,5.064,0.015,72.987,2.903,1.675
1751056980.770,1751056980.873,-3.838,4.329,-3.127,-20.751,5.123,0.002,72.827,2.982,1.830
1751056981.411,1751056981.474,-4.170,4.325,-3.128,-19.988,5.146,-0.038,78.791,2.745,2.158
1751056981.906,1751056981.954,-4.419,4.321,-3.127,-19.004,5.119,-0.044,85.094,2.398,2.569
1751056982.908,1751056982.943,-4.900,4.315,-3.127,-16.616,4.927,-0.087,99.031,0.324,3.572
1751056983.482,1751056983.571,-5.216,4.310,-3.128,-14.097,5.101,-2.632,94.556,2.344,3.399
1751056984.001,1751056984.026,-5.464,4.306,-3.124,-12.077,5.055,-3.090,85.999,2.124,3.439
1751056984.409,1751056984.487,-5.680,4.303,-3.126,-10.429,5.023,-3.119,72.303,2.162,2.639
1751056985.002,1751056985.021,-5.976,4.301,-3.139,-9.063,5.015,-3.136,54.292,2.291,1.849
1751056985.489,1751056985.553,-6.225,4.299,-3.131,-8.195,4.989,-3.128,40.634,2.188,1.310
1751056985.978,1751056986.043,-6.474,4.296,-3.129,-7.730,4.973,-3.126,31.119,2.040,0.983
1751056986.491,1751056986.566,-6.739,4.292,-3.128,-7.477,4.970,-3.128,24.510,2.299,0.733
1751056987.014,1751056987.024,-7.005,4.289,-3.127,-7.352,4.975,-3.128,17.649,2.407,0.481
1751056987.308,1751056987.318,-7.137,4.287,-3.128,-7.024,4.970,-3.128,11.242,2.506,0.208
1751056987.810,1751056987.898,-7.403,4.283,-3.127,-7.318,4.990,-3.129,10.693,2.656,0.203
1751056988.396,1751056988.512,-7.685,4.279,-3.127,-7.497,4.971,-3.131,9.990,2.445,0.189
1751056988.914,1751056988.970,-7.951,4.275,-3.127,-7.704,4.987,-3.130,9.606,2.553,0.189
1751056989.308,1751056989.382,-8.150,4.272,-3.127,-7.927,4.989,-3.134,9.422,2.568,0.188
1751056989.907,1751056989.978,-8.432,4.268,-3.128,-8.121,5.006,-3.133,9.013,2.615,0.193
1751056990.288,1751056990.413,-8.631,4.265,-3.127,-8.307,4.990,-3.137,8.616,2.346,0.186
1751056990.914,1751056990.946,-8.946,4.261,-3.128,-8.529,4.998,-3.136,8.556,2.421,0.178
1751056991.300,1751056991.376,-9.145,4.258,-3.127,-8.745,5.002,-3.137,8.404,2.393,0.181
1751056991.886,1751056991.932,-9.444,4.253,-3.127,-9.066,5.011,-3.137,8.302,2.474,0.188
1751056992.305,1751056992.389,-9.660,4.250,-3.128,-9.234,4.991,-3.138,7.265,2.252,0.171
1751056992.792,1751056992.854,-9.909,4.247,-3.127,-9.465,5.003,-3.139,7.506,2.350,0.165
1751056993.313,1751056993.402,-10.174,4.243,-3.128,-9.667,4.999,-3.138,7.130,2.302,0.172
1751056993.798,1751056993.871,-10.406,4.240,-3.127,-9.984,5.005,3.141,6.925,2.369,0.164
1751056994.215,1751056994.267,-10.622,4.236,-3.127,-10.188,4.998,3.141,6.571,2.300,0.159
1751056994.694,1751056994.767,-10.854,4.233,-3.128,-10.392,4.990,3.141,6.207,2.228,0.154
1751056995.184,1751056995.274,-11.120,4.229,-3.127,-10.689,4.976,3.141,5.607,2.100,0.147
1751056995.711,1751056995.765,-11.369,4.226,-3.127,-10.899,4.970,3.141,5.309,2.051,0.143
1751056996.205,1751056996.266,-11.634,4.222,-3.127,-11.107,4.963,3.141,4.999,1.973,0.139
1751056996.699,1751056996.765,-11.880,4.219,3.137,-11.309,4.955,3.139,4.678,1.891,0.134
1751056997.214,1751056997.269,-12.145,4.218,-3.135,-11.513,4.942,-3.134,4.368,1.766,0.128
1751056997.713,1751056997.766,-12.394,4.216,-3.129,-11.720,4.932,-3.129,4.109,1.695,0.125
1751056998.191,1751056998.283,-12.643,4.212,-3.128,-12.025,4.913,-3.125,3.627,1.557,0.117
1751056998.714,1751056998.767,-12.892,4.209,-3.127,-12.235,4.904,-3.124,3.393,1.508,0.113
1751056999.184,1751056999.269,-13.141,4.205,-3.127,-12.444,4.895,-3.124,3.181,1.442,0.108
1751056999.687,1751056999.768,-13.373,4.202,-3.127,-12.653,4.884,-3.124,2.988,1.379,0.104
1751057000.194,1751057000.268,-13.638,4.198,-3.126,-12.863,4.871,-3.123,2.746,1.282,0.099
1751057000.685,1751057000.766,-13.887,4.194,-3.127,-13.075,4.860,-3.122,2.568,1.219,0.096
1751057001.206,1751057001.274,-14.153,4.190,-3.127,-13.391,4.846,-3.122,2.343,1.163,0.092
1751057001.655,1751057001.766,-14.385,4.187,-3.127,-13.604,4.834,-3.122,2.195,1.095,0.088
1751057002.204,1751057002.267,-14.651,4.183,-3.127,-13.816,4.823,-3.122,2.021,1.026,0.083
1751057002.698,1751057002.766,-14.900,4.179,-3.126,-14.034,4.815,-3.122,1.884,0.971,0.079
1751057003.202,1751057003.268,-15.165,4.175,-3.127,-14.249,4.807,-3.122,1.738,0.933,0.076
1751057003.694,1751057003.766,-15.397,4.172,-3.127,-14.462,4.800,-3.122,1.577,0.888,0.071
