timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753303234.290,1753303234.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303234.809,1753303234.890,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303235.296,1753303235.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303235.813,1753303235.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303236.300,1753303236.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303236.813,1753303236.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303237.294,1753303237.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303237.812,1753303237.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303238.302,1753303238.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303238.791,1753303238.890,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303239.305,1753303239.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303239.799,1753303239.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303240.287,1753303240.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303240.799,1753303240.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303241.312,1753303241.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303241.802,1753303241.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303242.289,1753303242.391,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303242.813,1753303242.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303243.302,1753303243.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303243.790,1753303243.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303244.308,1753303244.391,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303244.794,1753303244.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303245.312,1753303245.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303245.794,1753303245.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303246.313,1753303246.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303246.807,1753303246.890,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303247.313,1753303247.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303247.795,1753303247.892,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303248.298,1753303248.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303248.791,1753303248.890,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303249.311,1753303249.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303249.777,1753303249.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303250.315,1753303250.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303250.801,1753303250.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303251.314,1753303251.390,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303251.800,1753303251.891,-2.002,0.999,1.569,-17.542,8.852,-0.844,71.989,26.679,2.843
1753303252.288,1753303252.392,-2.001,1.061,1.560,-17.838,9.589,-0.263,68.579,27.858,2.917
1753303252.808,1753303252.891,-2.000,1.176,1.559,-17.527,9.261,-0.825,64.657,27.765,3.196
1753303253.296,1753303253.391,-1.999,1.283,1.559,-18.406,9.378,1.843,71.503,30.096,3.152
1753303253.817,1753303253.893,-1.998,1.353,1.516,-15.287,8.393,-0.595,75.591,27.524,2.616
1753303254.308,1753303254.390,-1.998,1.354,1.405,-15.174,7.906,-0.615,77.349,25.007,2.811
1753303254.790,1753303254.890,-1.998,1.354,1.295,-15.186,8.004,-0.728,75.307,26.114,2.677
1753303255.309,1753303255.391,-1.975,1.421,1.246,-15.338,7.889,-0.897,79.397,26.027,2.717
1753303255.797,1753303255.891,-1.941,1.522,1.246,-15.282,8.031,-0.775,75.082,23.865,2.589
1753303256.319,1753303256.391,-1.905,1.631,1.246,-15.663,7.993,-1.022,77.476,24.782,2.447
1753303256.793,1753303256.891,-1.870,1.732,1.245,-14.940,8.085,0.627,78.570,24.170,3.026
1753303257.316,1753303257.391,-1.834,1.841,1.245,-11.084,4.482,-2.652,56.188,2.962,2.663
1753303257.805,1753303257.891,-1.800,1.942,1.245,-11.093,4.476,-2.658,55.460,2.983,2.663
